Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error,Samples
ibm_brisbane,2,52,0,52,0,0.5,0.5,1.0,0.0,0.6666666666666666,131.47241687774658,4.912659,,127,6.778461383818718e-05,6.778461383818718e-05,0.02571934977854331,518
ibm_brisbane,3,52,0,52,0,0.5,0.5,1.0,0.0,0.6666666666666666,239.62025499343872,4.912659,,127,6.778461383818718e-05,6.778461383818718e-05,0.02571934977854331,518
ibm_brisbane,4,52,0,52,0,0.5,0.5,1.0,0.0,0.6666666666666666,394.4234437942505,4.912659,,127,6.778461383818718e-05,6.778461383818718e-05,0.02571934977854331,518
ibm_brisbane,5,0,52,0,52,0.5,0,0.0,1.0,0,589.2784450054169,4.912659,,127,6.778461383818718e-05,6.778461383818718e-05,0.02571934977854331,518
ibm_brisbane,6,0,52,0,52,0.5,0,0.0,1.0,0,835.9375,4.912659,,127,6.778461383818718e-05,6.778461383818718e-05,0.02571934977854331,518
ibm_brisbane,7,0,52,0,52,0.5,0,0.0,1.0,0,2486.416263103485,4.912659,,127,6.778461383818718e-05,6.778461383818718e-05,0.02571934977854331,518
ibm_brisbane,8,0,52,0,52,0.5,0,0.0,1.0,0,1870.2066559791565,4.912659,,127,6.778461383818718e-05,6.778461383818718e-05,0.02571934977854331,518
