Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Samples
2,4,58,1,42,0.5904761904761905,0.8,0.08695652173913043,0.9830508474576272,0.1568627450980392,171.00899529457092,171.00899529457092,521
3,4,58,1,42,0.5904761904761905,0.8,0.08695652173913043,0.9830508474576272,0.1568627450980392,312.0743360519409,312.0743360519409,521
4,4,58,1,42,0.5904761904761905,0.8,0.08695652173913043,0.9830508474576272,0.1568627450980392,497.2616047859192,497.2616047859192,521
5,29,38,21,17,0.638095238095238,0.58,0.6304347826086957,0.6440677966101694,0.6041666666666666,740.9729652404785,740.9729652404785,521
6,29,38,21,17,0.638095238095238,0.58,0.6304347826086957,0.6440677966101694,0.6041666666666666,1061.4841318130493,1061.4841318130493,521
7,29,38,21,17,0.638095238095238,0.58,0.6304347826086957,0.6440677966101694,0.6041666666666666,1460.2057209014893,1460.2057209014893,521
8,28,43,16,18,0.6761904761904762,0.6363636363636364,0.6086956521739131,0.7288135593220338,0.6222222222222223,2006.0407264232635,2006.0407264232635,521
9,30,42,17,16,0.6857142857142857,0.6382978723404256,0.6521739130434783,0.711864406779661,0.6451612903225806,2734.1020419597626,2734.1020419597626,521
10,30,42,17,16,0.6857142857142857,0.6382978723404256,0.6521739130434783,0.711864406779661,0.6451612903225806,3869.248481988907,3869.248481988907,521
2,98,1,110,0,0.47368421052631576,0.47115384615384615,1.0,0.009009009009009009,0.6405228758169934,682.4012801647186,682.4012801647186,1042
3,9,109,2,89,0.5645933014354066,0.8181818181818182,0.09183673469387756,0.9819819819819819,0.1651376146788991,1246.438887834549,1246.438887834549,1042
4,9,109,2,89,0.5645933014354066,0.8181818181818182,0.09183673469387756,0.9819819819819819,0.1651376146788991,1987.3892579078674,1987.3892579078674,1042
5,67,85,26,31,0.7272727272727273,0.7204301075268817,0.6836734693877551,0.7657657657657657,0.7015706806282722,2984.694799423218,2984.694799423218,1042
6,67,85,26,31,0.7272727272727273,0.7204301075268817,0.6836734693877551,0.7657657657657657,0.7015706806282722,4227.378092050552,4227.378092050552,1042
7,67,85,26,31,0.7272727272727273,0.7204301075268817,0.6836734693877551,0.7657657657657657,0.7015706806282722,5843.203802347183,5843.203802347183,1042
8,67,85,26,31,0.7272727272727273,0.7204301075268817,0.6836734693877551,0.7657657657657657,0.7015706806282722,8327.611318349838,8327.611318349838,1042
9,80,74,37,18,0.7368421052631579,0.6837606837606838,0.8163265306122449,0.6666666666666666,0.7441860465116279,12053.020202875137,12053.020202875137,1042
10,84,78,33,14,0.7751196172248804,0.717948717948718,0.8571428571428571,0.7027027027027027,0.7813953488372092,17104.79878783226,17104.79878783226,1042
2,0,150,0,163,0.4792332268370607,0,0.0,1.0,0,1626.8935415744781,1626.8935415744781,1563
3,17,145,5,146,0.5175718849840255,0.7727272727272727,0.10429447852760736,0.9666666666666667,0.1837837837837838,2860.283463716507,2860.283463716507,1563
4,17,145,5,146,0.5175718849840255,0.7727272727272727,0.10429447852760736,0.9666666666666667,0.1837837837837838,4602.411226511002,4602.411226511002,1563
5,98,119,31,65,0.6932907348242812,0.7596899224806202,0.6012269938650306,0.7933333333333333,0.6712328767123287,6915.374441862106,6915.374441862106,1563
6,99,118,32,64,0.6932907348242812,0.7557251908396947,0.6073619631901841,0.7866666666666666,0.6734693877551021,9760.939726352692,9760.939726352692,1563
7,85,124,26,78,0.6677316293929713,0.7657657657657657,0.5214723926380368,0.8266666666666667,0.6204379562043796,13751.473652124405,13751.473652124405,1563
8,106,113,37,57,0.6996805111821086,0.7412587412587412,0.6503067484662577,0.7533333333333333,0.69281045751634,19175.463850021362,19175.463850021362,1563
