Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
,1.0,50.0,16.0,30.0,4.0,0.66,0.625,0.9259259259259259,0.34782608695652173,0.7462686567164178,0.002790212631225586,0.002790212631225586,,,,,
,2.0,50.0,23.0,23.0,4.0,0.73,0.684931506849315,0.9259259259259259,0.5,0.7874015748031495,0.0023560523986816406,0.0023560523986816406,,,,,
,3.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.0017571449279785156,0.0017571449279785156,,,,,
,4.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.0019903182983398438,0.0019903182983398438,,,,,
,5.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.0018310546875,0.0018310546875,,,,,
,6.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.0022072792053222656,0.0022072792053222656,,,,,
,7.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.0019659996032714844,0.0019659996032714844,,,,,
,8.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.002409219741821289,0.002409219741821289,,,,,
,9.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.002240896224975586,0.002240896224975586,,,,,
,10.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.0026090145111083984,0.0026090145111083984,,,,,
,11.0,51.0,39.0,7.0,3.0,0.9,0.8793103448275862,0.9444444444444444,0.8478260869565217,0.9107142857142858,0.0023622512817382812,0.0023622512817382812,,,,,
,12.0,51.0,39.0,7.0,3.0,0.9,0.8793103448275862,0.9444444444444444,0.8478260869565217,0.9107142857142858,0.002216815948486328,0.002216815948486328,,,,,
,13.0,51.0,39.0,7.0,3.0,0.9,0.8793103448275862,0.9444444444444444,0.8478260869565217,0.9107142857142858,0.00257110595703125,0.00257110595703125,,,,,
,14.0,50.0,41.0,5.0,4.0,0.91,0.9090909090909091,0.9259259259259259,0.8913043478260869,0.9174311926605504,0.0024330615997314453,0.0024330615997314453,,,,,
,15.0,50.0,42.0,4.0,4.0,0.92,0.9259259259259259,0.9259259259259259,0.9130434782608695,0.9259259259259259,0.002810955047607422,0.002810955047607422,,,,,
,16.0,50.0,41.0,5.0,4.0,0.91,0.9090909090909091,0.9259259259259259,0.8913043478260869,0.9174311926605504,0.0027251243591308594,0.0027251243591308594,,,,,
,17.0,50.0,41.0,5.0,4.0,0.91,0.9090909090909091,0.9259259259259259,0.8913043478260869,0.9174311926605504,0.002711057662963867,0.002711057662963867,,,,,
,18.0,50.0,42.0,4.0,4.0,0.92,0.9259259259259259,0.9259259259259259,0.9130434782608695,0.9259259259259259,0.0028371810913085938,0.0028371810913085938,,,,,
,19.0,50.0,41.0,5.0,4.0,0.91,0.9090909090909091,0.9259259259259259,0.8913043478260869,0.9174311926605504,0.0029036998748779297,0.0029036998748779297,,,,,
,20.0,50.0,41.0,5.0,4.0,0.91,0.9090909090909091,0.9259259259259259,0.8913043478260869,0.9174311926605504,0.002991199493408203,0.002991199493408203,,,,,
,21.0,50.0,41.0,5.0,4.0,0.91,0.9090909090909091,0.9259259259259259,0.8913043478260869,0.9174311926605504,0.0029578208923339844,0.0029578208923339844,,,,,
,22.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.0030422210693359375,0.0030422210693359375,,,,,
,23.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.0034902095794677734,0.0034902095794677734,,,,,
,24.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.003011941909790039,0.003011941909790039,,,,,
,25.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.00316619873046875,0.00316619873046875,,,,,
,26.0,50.0,40.0,6.0,4.0,0.9,0.8928571428571429,0.9259259259259259,0.8695652173913043,0.9090909090909091,0.003242015838623047,0.003242015838623047,,,,,
